174-B-bug-1504776-1504783,10,90,86,6,2,84,84,42
180-C-bug-15764515-15764561,10,20,15,6,1,14,14,8
197-C-bug-11986074-11986110,10,23,9,23,9,0,0,4
197-C-bug-2103086-2103090,10,23,23,6,6,17,17,8
202-A-bug-1864388-1905671,10,59,30,29,2,30,28,6
202-A-bug-1938570-1938571,10,59,12,59,12,0,0,4
208-A-bug-17292049-17292076,10,73,30,41,29,32,1,10
208-A-bug-17532993-17533015,10,73,15,59,1,14,14,8
208-A-bug-17922157-17922172,10,25,10,15,6,10,4,5
208-A-bug-18110250-18110255,10,74,10,68,4,6,6,19
208-A-bug-18123262-18123289,10,74,8,68,2,6,6,17
208-A-bug-18260832-18260860,10,74,34,41,1,33,33,6
208-A-bug-18351096-18351104,10,74,43,33,2,41,41,3
236-A-bug-18003726-18007529,10,91,54,39,12,52,42,56
236-A-bug-18003976-18004085,10,89,2,89,2,0,0,7
236-A-bug-18007495-18007529,10,89,5,89,5,0,0,4
236-A-bug-18227052-18227120,10,91,56,39,9,52,47,53
236-A-bug-18338107-18338153,10,91,60,37,19,54,41,33
245-B-bug-15450004-15450022,10,26,24,4,2,22,22,24
245-B-bug-15926715-15927032,10,26,23,4,1,22,22,25
276-B-bug-10441668-10441759,10,33,28,6,4,27,24,4
276-B-bug-14833281-14833300,10,41,36,6,4,35,32,3
276-B-bug-16707425-16707470,10,35,24,11,1,24,23,12
276-B-bug-4820773-4820788,10,33,28,6,1,27,27,2
276-B-bug-5933556-5940552,10,41,36,6,4,35,32,3
276-B-bug-5933573-5940552,10,41,36,6,1,35,35,2
276-B-bug-6188908-6188949,10,41,36,6,1,35,35,17
281-A-bug-18132658-18132720,10,49,49,3,3,46,46,3
281-A-bug-18294879-18294887,10,28,1,28,1,0,0,1
291-B-bug-3524194-3524237,10,21,3,21,3,0,0,6
291-B-bug-3537395-3537438,10,21,19,4,2,17,17,13
291-B-bug-3539893-3539896,10,23,21,4,2,19,19,1
291-B-bug-3726598-3726610,10,23,21,4,2,19,19,1
291-B-bug-6753127-6753143,10,31,31,2,2,29,29,10
316-A1-bug-3879223-3879239,10,35,32,4,1,31,31,5
316-A2-bug-3868271-3868327,10,27,11,17,1,10,10,10
316-A2-bug-3876995-3877003,10,36,33,4,1,32,32,16
31-B-bug-10514546-10514583,10,84,73,9,1,75,72,3
31-B-bug-10514554-10514583,10,84,76,9,1,75,75,2
31-B-bug-10514570-10514583,10,96,90,7,1,89,89,10
31-B-bug-136044-136045,10,68,41,48,21,20,20,3
31-B-bug-14199570-14199578,10,74,67,9,2,65,65,1
31-B-bug-14288247-14288278,10,74,63,9,1,65,62,3
31-B-bug-512114-512120,10,72,65,9,2,63,63,1
31-B-bug-512116-512120,10,68,35,40,7,28,28,3
31-B-bug-6435804-6435825,10,90,87,5,2,85,85,3
353-D-bug-4926926-4926955,10,27,20,9,2,18,18,16
353-D-bug-6175754-6175760,10,24,19,6,1,18,18,29
363-C-bug-13754002-13754097,10,45,45,2,2,43,43,18
363-C-bug-5405641-5405684,10,31,23,9,1,22,22,14
385-B-bug-11063177-11063186,10,17,12,8,3,9,9,17
385-B-bug-17596493-17596993,10,17,16,3,2,14,14,29
385-B-bug-6898992-6898998,10,17,12,8,3,9,9,17
393-A-bug-10224824-10224841,10,77,65,3,1,74,64,6
393-A-bug-12975319-12975331,10,68,62,7,1,61,61,6
393-A-bug-13882866-13882981,10,62,42,21,1,41,41,196
393-A-bug-13915086-13915488,10,72,60,13,1,59,59,141
393-A-bug-13915169-13915488,10,102,97,6,1,96,96,31
393-A-bug-14052177-14052206,10,62,54,9,1,53,53,23
411-A-bug-14678684-14678713,10,143,139,5,1,138,138,15
411-A-bug-17508041-17508258,10,85,81,5,1,80,80,15
411-A-bug-9661639-9661654,10,143,139,5,1,138,138,15
41-C-bug-10642948-10642983,10,56,37,21,3,35,34,27
41-C-bug-10642957-10642983,10,55,48,10,3,45,45,17
41-C-bug-10642972-10642983,10,55,52,4,1,51,51,25
41-C-bug-10643130-10643148,10,57,27,31,1,26,26,35
41-C-bug-16825894-16825911,10,57,37,21,1,36,36,15
41-C-bug-17904918-17904940,10,92,92,2,2,90,90,28
41-C-bug-17904924-17904940,10,56,36,21,1,35,35,20
