113-A-bug-683826-683913,11,356,302,53,3,303,299,74
113-A-bug-691902-691903,11,360,333,25,3,335,330,58
118-A-bug-18073097-18080639,11,57,51,15,9,42,42,29
118-A-bug-18103516-18103560,11,57,53,15,11,42,42,25
118-A-bug-18109879-18109907,11,57,51,15,9,42,42,23
118-A-bug-18134274-18134357,11,57,51,15,9,42,42,23
118-A-bug-18144017-18166218,11,75,72,4,1,71,71,264
118-A-bug-18174609-18174835,11,57,53,15,11,42,42,28
118-A-bug-18174643-18174835,11,57,51,15,9,42,42,32
118-A-bug-18174652-18174835,11,57,53,15,11,42,42,29
118-A-bug-18174751-18174835,11,57,47,15,5,42,42,29
118-A-bug-18282023-18282195,11,57,51,15,9,42,42,32
118-A-bug-18294639-18294683,11,57,51,15,9,42,42,23
118-A-bug-18327752-18328450,11,57,50,11,4,46,46,29
123-A-bug-1869815-1869826,11,34,29,17,17,17,12,27
126-B-bug-16617781-16617816,11,48,41,8,1,40,40,50
131-A-bug-18069181-18073244,11,61,52,10,4,51,48,24
131-A-bug-18178430-18178436,11,65,62,4,4,61,58,24
131-A-bug-18178468-18252378,11,62,10,10,10,52,0,23
131-A-bug-18296690-18296701,11,65,62,4,4,61,58,24
133-A-bug-17969403-17975791,11,88,81,13,7,75,74,25
133-A-bug-17992884-17992958,11,88,81,13,7,75,74,27
133-A-bug-17993292-17993355,11,88,65,13,13,75,52,24
133-A-bug-18017249-18017267,11,88,65,13,13,75,52,23
133-A-bug-18047608-18047662,11,88,65,13,13,75,52,24
133-A-bug-18048780-18048793,11,87,32,32,32,55,0,24
133-A-bug-18066416-18066518,11,88,65,13,13,75,52,24
133-A-bug-18158271-18158334,11,88,65,13,13,75,52,23
133-A-bug-18158313-18158334,11,90,72,12,12,78,60,24
133-A-bug-18217634-18217677,11,88,78,13,3,75,75,30
133-A-bug-18285631-18285709,11,88,79,13,5,75,74,29
133-A-bug-18285699-18285856,11,88,54,69,35,19,19,29
133-A-bug-18285725-18285856,11,88,65,13,13,75,52,23
133-A-bug-18286216-18286228,11,88,79,13,4,75,75,28
133-A-bug-18296173-18296188,11,88,65,13,13,75,52,25
133-A-bug-18327759-18327824,11,88,81,13,7,75,74,25
133-A-bug-18348504-18348539,11,88,65,13,13,75,52,25
133-A-bug-18355672-18355701,11,88,80,13,6,75,74,28
133-C-bug-925626-925706,11,19,19,19,19,0,0,27
133-C-bug-927836-927839,11,19,19,8,8,11,11,8
137-A-bug-11590458-11590515,11,50,41,15,6,35,35,32
137-A-bug-8134102-8134128,11,50,41,9,4,41,37,30
147-A-bug-1015775-1015776,11,78,65,46,33,32,32,29
147-A-bug-1045602-1045611,11,79,50,45,40,34,10,27
147-A-bug-1045605-1045611,11,78,44,44,44,34,0,25
147-A-bug-12915557-12915622,11,74,38,38,38,36,0,24
174-B-bug-1501641-1501825,11,69,66,4,1,65,65,66
180-C-bug-15764515-15764561,11,20,6,6,6,14,0,25
197-C-bug-11986074-11986110,11,23,23,23,23,0,0,27
197-C-bug-2103086-2103090,11,23,23,6,6,17,17,28
202-A-bug-1864388-1905671,11,59,40,29,29,30,11,30
202-A-bug-1938570-1938571,11,59,59,59,59,0,0,25
208-A-bug-17532993-17533015,11,73,56,59,56,14,0,29
208-A-bug-18102368-18102377,11,62,62,62,62,0,0,24
208-A-bug-18123271-18123289,11,74,13,68,7,6,6,33
208-A-bug-18351096-18351104,11,74,33,33,33,41,0,27
236-A-bug-18003726-18007529,11,91,64,39,39,52,25,53
236-A-bug-18003976-18004085,11,89,88,89,88,0,0,30
236-A-bug-18007495-18007529,11,89,89,89,89,0,0,28
236-A-bug-18227052-18227120,11,91,64,39,38,52,26,62
236-A-bug-18338107-18338153,11,91,62,37,37,54,25,62
245-B-bug-15450004-15450022,11,26,18,4,2,22,16,46
245-B-bug-15926715-15927032,11,26,24,4,2,22,22,46
276-B-bug-10441668-10441759,11,33,29,6,5,27,24,24
276-B-bug-13314488-13314500,11,33,29,6,5,27,24,24
276-B-bug-14833281-14833300,11,41,36,6,1,35,35,25
276-B-bug-4820773-4820788,11,33,29,6,5,27,24,24
276-B-bug-5933556-5940552,11,41,36,6,1,35,35,40
276-B-bug-6188908-6188949,11,41,36,6,1,35,35,40
281-A-bug-18132658-18132720,11,49,49,3,3,46,46,24
291-B-bug-3524194-3524237,11,21,18,21,18,0,0,29
291-B-bug-3537395-3537438,11,21,7,4,4,17,3,34
291-B-bug-3539893-3539896,11,23,4,4,4,19,0,24
291-B-bug-3726598-3726610,11,23,4,4,4,19,0,24
291-B-bug-6753127-6753143,11,31,4,2,2,29,2,30
316-A1-bug-3879223-3879239,11,35,12,4,4,31,8,30
316-A2-bug-3868271-3868327,11,27,18,17,17,10,1,24
