41-C-bug-10642957-10642983,10,55,46,10,1,45,45,102,manual,NOREPAIR,144.123,,,,autogen,NOREPAIR,409.305,,,
41-C-bug-10642972-10642983,10,55,52,4,1,51,51,56,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,327.770,,,
41-C-bug-10643130-10643148,10,57,31,31,5,26,26,330,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,526.331,,,
41-C-bug-16825894-16825911,10,57,38,21,2,36,36,50,manual,NOREPAIR,96.980,,,,autogen,NOREPAIR,406.824,,,
41-C-bug-17904918-17904940,10,92,85,2,2,90,83,63,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,419.780,,,
41-C-bug-17904924-17904940,10,56,38,21,3,35,35,45,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,560.540,,,
41-C-bug-17917572-17917578,10,63,55,16,8,47,47,65,manual,TIMEOUT,10m,,,,autogen,REPAIR,279.054,52,52,52
41-C-bug-187321-187384,10,56,38,21,3,35,35,45,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,346.862,,,
41-C-bug-736212-736216,10,63,53,16,6,47,47,37,manual,TIMEOUT,10m,,,,autogen,NOREPAIR,414.633,,,
411-A-bug-14678684-14678713,10,143,80,5,5,138,75,41,manual,REPAIR,77.613,81,81,81,autogen,NOREPAIR,469.296,,,
411-A-bug-9661639-9661654,10,143,80,5,5,138,75,39,manual,REPAIR,11.891,79,81,81,autogen,TIMEOUT,10m,,,
420-A-bug-13091991-13091997,10,79,50,23,16,56,34,29,manual,NOREPAIR,58.216,,,,autogen,REPAIR,46.271,66,70,70
420-A-bug-14171953-14171970,10,78,75,7,5,71,70,35,manual,REPAIR,38.186,69,74,74,autogen,TIMEOUT,10m,,,
420-A-bug-14755133-14755144,10,129,129,5,5,124,124,29,manual,REPAIR,0.945,59,70,70,autogen,TIMEOUT,10m,,,
420-A-bug-16671795-16671832,10,79,49,43,43,36,6,24,manual,REPAIR,6.480,56,70,70,autogen,REPAIR,30.759,70,70,70
505-A-bug-10101095-10101109,10,56,51,6,1,50,50,35,manual,????,0.388,,,,autogen,REPAIR,224.257,39,39,39
505-A-bug-10513326-10513335,10,43,34,17,16,26,18,33,manual,????,0.114,,,,autogen,TIMEOUT,10m,,,
538-A-bug-14000679-14000824,10,79,78,3,2,76,76,82,manual,REPAIR,0.476,54,55,55,autogen,REPAIR,74.526,54,55,55
538-A-bug-16876247-16876282,10,102,102,2,2,100,100,70,manual,REPAIR,7.404,53,55,55,autogen,REPAIR,353.503,55,55,55
550-A-bug-17839318-17839327,10,83,79,12,9,71,70,48,manual,NOREPAIR,85.261,,,,autogen,NOREPAIR,301.697,,,
58-A-bug-17762757-17762804,10,45,7,7,7,38,0,24,manual,REPAIR,127.517,34,39,39,autogen,REPAIR,29.112,15,39,39
58-A-bug-18163826-18163845,10,42,17,17,17,25,0,25,manual,NOREPAIR,49.851,,,,autogen,NOREPAIR,158.282,,,
58-A-bug-18231253-18231295,10,43,41,5,3,38,38,89,manual,REPAIR,0.970,39,40,40,autogen,REPAIR,144.564,39,40,40
59-A-bug-17307162-17307176,10,34,34,34,34,0,0,29,manual,REPAIR,3.778,30,30,30,autogen,REPAIR,27.351,30,30,30
59-A-bug-17706574-17706595,10,43,40,3,0,40,40,267,manual,REPAIR,51.208,30,30,30,autogen,REPAIR,208.901,24,30,30
600-A-bug-18147663-18147679,10,37,14,3,3,34,11,25,manual,TIMEOUT,10m,,,,autogen,VERIFICATIONFAILED,19.218,,,
600-A-bug-18147672-18147679,10,37,34,3,1,34,33,31,manual,TIMEOUT,10m,,,,autogen,VERIFICATIONFAILED,16.111,,,
665-C-bug-17762752-17762802,10,21,21,4,4,17,17,28,manual,REPAIR,113.790,9,9,9,autogen,REPAIR,75.391,9,9,9
